Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-11-18,270.6941833496094,276.08877136291704,270.56478832285484,273.23220908800323,12152900
2020-11-19,271.65966796875,272.18718057635516,267.92725884670676,269.74866113351766,12963700
2020-11-20,268.43487548828125,271.7193833571145,268.1462273454444,271.28144492468033,18114700
2020-11-23,267.1708068847656,269.6790051856263,263.2891075791746,269.6192890712651,20990800
2020-11-24,275.62103271484375,276.5168049059383,266.6134663711706,267.230553205604,16930400
2020-11-25,274.2972412109375,278.8657065013396,271.37102992044345,276.8352977329993,12467000
2020-11-27,276.5068359375,277.82065132154526,273.5308712621586,276.0888230990289,7808400
2020-11-30,275.6708068847656,276.39739357916886,269.7387722015637,274.7352137506571,16693300
2020-12-01,285.2058410644531,287.9429413832077,277.65144782962176,277.85052182075634,20738900
2020-12-02,286.1712646484375,290.4112911809428,279.512644266161,284.02139332383297,17361600
2020-12-03,280.52789306640625,285.3053648888175,279.7515531359038,284.9072472993541,12921700
2020-12-04,278.3879699707031,282.13031156638726,277.9898220275162,278.9851311366365,10880300
2020-12-07,284.2403259277344,287.13667871245434,276.8949711495846,277.8803173226884,13007700
2020-12-08,282.0705871582031,285.08637245521015,280.2292592855726,284.66835965134453,10747700
2020-12-09,276.6163330078125,286.28077637305904,270.4752621725787,282.329397822939,25189700
2020-12-10,275.820068359375,277.4225318947047,270.5847324807346,274.2474932581633,20065100
2020-12-11,272.26678466796875,275.18306333533354,268.9822768780611,273.2421984939375,14391400
2020-12-14,272.90380859375,275.9195939963605,270.28614076214086,272.0876478298217,16376900
2020-12-15,274.2574157714844,274.7849283899252,266.2153314494091,273.540791990355,23979500
2020-12-16,274.37689208984375,276.5565912263314,271.2317114696477,273.4711571007699,15885000
2020-12-17,273.19244384765625,279.1244773865395,272.3264994442091,275.7702906881683,16377800
2020-12-18,275.1034240722656,276.69592467766915,269.868118957792,274.4763744909662,26693200
2020-12-21,271.5104064941406,273.38159265915493,266.53386046992233,271.69951767301507,16553700
2020-12-22,265.83709716796875,270.2264138331731,263.38864534857277,270.2264138331731,17312900
2020-12-23,266.8523254394531,270.8933085906598,264.9811697252356,265.6380774185522,14329000
2020-12-24,266.1456604003906,269.1315878477572,264.9513076460988,267.61872887588436,6702000
2020-12-28,275.7006530761719,275.9992336914656,264.413850201667,267.4793892249142,23299700
2020-12-29,275.48162841796875,279.19414198492615,274.98397390963555,275.65084431554715,16383000
2020-12-30,270.5946960449219,276.7755574139895,270.4354429346406,276.6461927379094,11803800
2020-12-31,271.878662109375,275.7902199379974,268.54437024646853,270.7240998035171,12900400
2021-01-04,267.6784362792969,273.7100070966361,263.9559899025982,273.4910378759819,15106100
2021-01-05,269.6988830566406,271.1221676479237,266.95182047531745,267.0314622056163,9871600
2021-01-06,262.0748291015625,266.4940038075405,258.79032131644857,260.77097664827494,24354100
2021-01-07,267.4793395996094,270.33587166218,263.5379243368469,264.65266559302853,15789800
2021-01-08,266.3148498535156,267.68838120270755,261.9454285433883,267.0513688308532,18528300
2021-01-11,255.6351776123047,262.23408159904403,254.6995846575814,259.25811720283696,30412300
2021-01-12,249.91217041015625,258.5016932201833,249.1258828653461,255.42619159676337,26383500
2021-01-13,250.4595947265625,252.75875644070985,248.0310379625794,250.37002054769732,19528900
2021-01-14,244.48773193359375,253.83368397453697,243.4625647536948,252.21132524701002,29739400
2021-01-15,250.180908203125,252.6691810746602,246.0006128163883,246.73713186654683,24942900
2021-01-19,259.8752136230469,260.9700597144118,251.53451845577186,255.69490322853497,28028500
2021-01-20,266.22528076171875,269.0519548732875,262.3634767133542,267.6684606873908,25199900
2021-01-21,271.5899658203125,272.3165523354043,266.23519846449295,267.996914859097,20838700
2021-01-22,273.21234130859375,277.16371955451825,270.72406861908013,270.7340314296534,21954000
2021-01-25,276.70587158203125,278.7860637980123,270.2363629236938,276.83526661510535,19087000
2021-01-26,280.7269287109375,284.05128794344364,276.50682770836573,276.835296731814,19373600
2021-01-27,270.8634338378906,282.1203773615264,266.86227180467614,281.20467962212916,35346200
2021-01-28,263.7569274902344,285.44472259889307,263.45834689190224,275.8797857733197,37758800
2021-01-29,257.1181945800781,265.309599667257,253.65453824202993,264.05550044172963,30389500
2021-02-01,260.7809143066406,262.93078533795904,253.71421450798104,258.302574303838,22914300
2021-02-02,265.8271179199219,267.5888343131749,262.03499300902416,262.76157952355874,17320800
2021-02-03,265.399169921875,267.93722639438874,262.6023537335994,264.3740027465401,14223400
2021-02-04,265.23992919921875,266.9021088666218,262.7616191024998,265.7575094037497,16060000
2021-02-05,266.8423767089844,267.9073647395341,264.4237828774701,265.54845664984947,12454400
2021-02-08,265.3294982910156,268.5941110689522,263.7569232079565,267.4893324986351,13755200
2021-02-09,268.18603515625,272.1075552356583,264.50337952856717,265.19014520169947,14613400
2021-02-10,270.5946960449219,272.5156354308473,266.4641691122847,271.1719923664945,14687200
2021-02-11,269.12164306640625,272.29665116199936,267.2305314702786,270.6146067216081,12828600
2021-02-12,269.2311096191406,269.9079125124252,267.0812383336282,269.25100486620556,9097600
2021-02-16,272.6848449707031,275.3025128560429,268.7832197961873,269.52970164754623,15417200
2021-02-17,272.2867126464844,272.6848302040985,268.3154087577032,269.9676254775032,12763200
2021-02-18,268.1263427734375,270.67433173208707,264.7820882811947,268.3054911280868,15249100
2021-02-19,260.3330383300781,269.00217183862065,258.92964889423274,268.594091474346,25622600
2021-02-22,259.10882568359375,261.8359934937076,256.3219721270092,256.7400153477097,17434900
2021-02-23,264.61285400390625,266.2053545861773,253.76400643443046,258.2827029167671,21924600
2021-02-24,263.0701599121094,265.1304571495634,257.17794673350454,261.09943685353267,15736100
2021-02-25,253.49526977539062,265.6878058976632,252.8483097667801,261.069557227545,19053100
2021-02-26,256.41156005859375,264.3043549960572,255.26696051413182,255.26696051413182,26619500
2021-03-01,263.6673583984375,265.3991866510312,256.6902313300045,259.5965474990258,22157300
2021-03-02,257.7850646972656,265.4588895855385,257.43670042684397,264.5332593844024,15191700
2021-03-03,254.21189880371094,259.7657101716926,253.9033554151799,259.0690120320257,15513500
2021-03-04,256.4314270019531,265.23988740951495,252.31083313552108,255.26690209965963,31626500
